release,dataSet,met/statusYear,domain/modelVersion,dataSource,dataDestination,diskSize,md5sum
201709,meteo,2015,EECCA,{FTP}/{REL}/input_data/meteo/meteo201513.tar.bz2,,116011382,22bf5f96f7e428b71159c6dac1e7ff8a
201709,output,2015,rv4_15,{FTP}/{REL}/model_results_rv4_15_2015/Base_model_rv4_15_results_EMEP01.tar.bz2,,2861362591,2b3615f874e67c69874662185a627c6a
201709,output,2015,rv4_15,{FTP}/{REL}/model_results_rv4_15_2015/EMEP01/Base_day.nc,EMEP_MSC-W_model.rv4.15.OpenSource/Base_EMEP01_34lev/,51073576741,d050fa6359372cba84c07029f93f9fc3
201709,output,2015,rv4_15,{FTP}/{REL}/model_results_rv4_15_2015/EMEP01/Base_hourInst.nc,EMEP_MSC-W_model.rv4.15.OpenSource/Base_EMEP01_34lev/,18728219480,4784ecec857061b10d25fdeaf47cafff
201709,meteo,2015,EMEP01,{THREDDS}/Meteo/{MOD}/{YEAR}/DegreeDayFactors.nc,EMEP_MSC-W_model.rv4.15.OpenSource/meteo2015/EMEP01/,1822094468,dc251e295209311d8e2531181d7a85ce
201709,meteo,2015,EMEP01,{THREDDS}/Meteo/{MOD}/{YEAR}/meteo20150101.nc,EMEP_MSC-W_model.rv4.15.OpenSource/meteo2015/EMEP01/,1773269067,5962907dc6e4507f7f9601a9b0c6b42a
201709,meteo,2015,EMEP01,{THREDDS}/Meteo/{MOD}/{YEAR}/meteo20150102.nc,EMEP_MSC-W_model.rv4.15.OpenSource/meteo2015/EMEP01/,1786221851,7d5e837178b1cbe64db20c298dee93a6
201709,meteo,2015,EMEP01,{THREDDS}/Meteo/{MOD}/{YEAR}/meteo20150103.nc,EMEP_MSC-W_model.rv4.15.OpenSource/meteo2015/EMEP01/,1774103488,bdea639f02a8670a9d983f3a1c35c151
201709,meteo,2015,EMEP01,{THREDDS}/Meteo/{MOD}/{YEAR}/meteo20150104.nc,EMEP_MSC-W_model.rv4.15.OpenSource/meteo2015/EMEP01/,1735795904,104f56659cafed09e493cc718750d3d4
201709,meteo,2015,EMEP01,{THREDDS}/Meteo/{MOD}/{YEAR}/meteo20150105.nc,EMEP_MSC-W_model.rv4.15.OpenSource/meteo2015/EMEP01/,1766579424,c8afe33f62878bb831fe8b9390f85232
201709,meteo,2015,EMEP01,{THREDDS}/Meteo/{MOD}/{YEAR}/meteo20150106.nc,EMEP_MSC-W_model.rv4.15.OpenSource/meteo2015/EMEP01/,1787891182,714f8aaa3c4fa9fe485aaf1869f8436c
201709,meteo,2015,EMEP01,{THREDDS}/Meteo/{MOD}/{YEAR}/meteo20150107.nc,EMEP_MSC-W_model.rv4.15.OpenSource/meteo2015/EMEP01/,1769880905,6eb2aa547a8807101c754f026123c09e
201709,meteo,2015,EMEP01,{THREDDS}/Meteo/{MOD}/{YEAR}/meteo20150108.nc,EMEP_MSC-W_model.rv4.15.OpenSource/meteo2015/EMEP01/,1778541614,d12dd84d01445d76b94584169617bce3
201709,meteo,2015,EMEP01,{THREDDS}/Meteo/{MOD}/{YEAR}/meteo20150109.nc,EMEP_MSC-W_model.rv4.15.OpenSource/meteo2015/EMEP01/,1785617947,4a6e4bc113649c0e2a25090e7c35df87
201709,meteo,2015,EMEP01,{THREDDS}/Meteo/{MOD}/{YEAR}/meteo20150110.nc,EMEP_MSC-W_model.rv4.15.OpenSource/meteo2015/EMEP01/,1773365080,8ed5c944d032c98f4488c656c23cd667
201709,meteo,2015,EMEP01,{THREDDS}/Meteo/{MOD}/{YEAR}/meteo20150111.nc,EMEP_MSC-W_model.rv4.15.OpenSource/meteo2015/EMEP01/,1751568750,ba057b520da4286355c75147a2409c62
201709,meteo,2015,EMEP01,{THREDDS}/Meteo/{MOD}/{YEAR}/meteo20150112.nc,EMEP_MSC-W_model.rv4.15.OpenSource/meteo2015/EMEP01/,1779828722,5355b1d582906be0851a413b648c4fc0
201709,meteo,2015,EMEP01,{THREDDS}/Meteo/{MOD}/{YEAR}/meteo20150113.nc,EMEP_MSC-W_model.rv4.15.OpenSource/meteo2015/EMEP01/,1783122892,25e959f8c105668871344ae51ab06276
201709,meteo,2015,EMEP01,{THREDDS}/Meteo/{MOD}/{YEAR}/meteo20150114.nc,EMEP_MSC-W_model.rv4.15.OpenSource/meteo2015/EMEP01/,1787628033,f9f256f34b73f274a80229f8f9f3390b
201709,meteo,2015,EMEP01,{THREDDS}/Meteo/{MOD}/{YEAR}/meteo20150115.nc,EMEP_MSC-W_model.rv4.15.OpenSource/meteo2015/EMEP01/,1785248631,892bf4d3c19b8c7a141d6476dae5da03
201709,meteo,2015,EMEP01,{THREDDS}/Meteo/{MOD}/{YEAR}/meteo20150116.nc,EMEP_MSC-W_model.rv4.15.OpenSource/meteo2015/EMEP01/,1766443452,0db56b8fed730694096a76f49d86f56b
201709,meteo,2015,EMEP01,{THREDDS}/Meteo/{MOD}/{YEAR}/meteo20150117.nc,EMEP_MSC-W_model.rv4.15.OpenSource/meteo2015/EMEP01/,1748576942,2cd948726ce8a60561bdd5cdb55d944c
